ID,P(B != 0 | Y),model 1,model 2,model 3,model 4,model 5
UBAC1,0.010293917820049136,0,0,0,0,0
LRCH3,0.010286342496476291,0,0,0,0,0
NUDT4,0.010252253540398491,0,0,0,0,0
ST6GALNAC4,0.010242310928209132,0,0,0,0,0
LYPLAL1,0.010240890555039224,0,0,0,0,0
TAOK1,0.01023852326642271,0,0,0,0,0
ASCC2,0.010232368316019773,0,0,0,0,0
HPS1,0.010229527569679956,0,0,0,0,0
CRYM,0.010218638042043992,0,0,0,0,0
KANK2,0.010211536176194452,0,0,0,0,0
KAT6A,0.01020964234530124,0,0,0,0,0
MYCT1,0.010187863290029311,0,0,0,0,0
ZNF542P,0.01018265525507298,0,0,0,0,0
LINC02842,0.010162770030694265,0,0,0,0,0
DENND2C,0.010162296572970962,0,0,0,0,0
SDC4,0.010156141622568025,0,0,0,0,0
PPP1CB,0.01014667246810197,0,0,0,0,0
RUNX1,0.010138623686805822,0,0,0,0,0
TMOD1,0.010137676771359216,0,0,0,0,0
ARG1,0.010132942194126188,0,0,0,0,0
HAGH,0.01012962799006307,0,0,0,0,0
EXOC6B,0.01006855194375701,0,0,0,0,0
ENSG00000259483,0.010067131570587102,0,0,0,0,0
WNK1,0.010065711197417193,0,0,0,0,0
ENSG00000260077,0.010061923535630771,0,0,0,0,0
KIFC1,0.010051980923441412,0,0,0,0,0
ENSG00000289176,0.010049140177101595,0,0,0,0,0
CDCA8,0.010022153086873337,0,0,0,0,0
JAZF1,0.010006055524281042,0,0,0,0,0
USP32,0.009992798708028565,0,0,0,0,0
MLH3,0.009982382638115904,0,0,0,0,0
CCNE1,0.009981435722669298,0,0,0,0,0
GNAZ,0.009978121518606178,0,0,0,0,0
NOMO1,0.009924620795872963,0,0,0,0,0
OPTN,0.009905682486940853,0,0,0,0,0
SCFD2,0.009899527536537917,0,0,0,0,0
ENSG00000248373,0.009856916341440666,0,0,0,0,0
RPA1,0.009819986639023049,0,0,0,0,0
GALNT6,0.009812411315450204,0,0,0,0,0
MPL,0.009809570569110387,0,0,0,0,0
METTL15,0.009780216190265615,0,0,0,0,0
SRGAP3,0.009773587782139376,0,0,0,0,0
RSAD2,0.009757963677270384,0,0,0,0,0
NEXN,0.009738078452891668,0,0,0,0,0
H2AC16,0.00973002967159552,0,0,0,0,0
ENSG00000289130,0.009717719770789647,0,0,0,0,0
TRIM40,0.009705409869983774,0,0,0,0,0
BPGM,0.00970304258136726,0,0,0,0,0
PVALB,0.009702095665920655,0,0,0,0,0
FECH,0.00969972837730414,0,0,0,0,0
SELENBP1,0.009693573426901206,0,0,0,0,0
LINC02884,0.009667059794396249,0,0,0,0,0
TSPAN18,0.009644807281401019,0,0,0,0,0
LINC01088,0.00964007270416799,0,0,0,0,0
CMPK2,0.009632497380595146,0,0,0,0,0
PDZK1IP1,0.009621607852959181,0,0,0,0,0
PDE3A,0.009603616459473677,0,0,0,0,0
`VIM-AS1`,0.00958231086192505,0,0,0,0,0
HGD,0.009571421334289086,0,0,0,0,0
RAB30,0.009571421334289086,0,0,0,0,0
RUNDC3A,0.009555797229420095,0,0,0,0,0
ENSG00000289320,0.009498035387177155,0,0,0,0,0
MCU,0.009492827352220824,0,0,0,0,0
SLC9A9,0.00947862362052174,0,0,0,0,0
ADRA2A,0.009468681008332383,0,0,0,0,0
TLR5,0.009436959340871095,0,0,0,0,0
ENSG00000251600,0.009436485883147792,0,0,0,0,0
TUBG1,0.009426069813235132,0,0,0,0,0
ENSG00000177359,0.009418494489662288,0,0,0,0,0
TMEM106C,0.009387246279924304,0,0,0,0,0
LPAR4,0.009368781428715495,0,0,0,0,0
H3C3,0.0093484227466134745,0,0,0,0,0
ENSG00000288933,0.009329957895404667,0,0,0,0,0
ENSG00000233968,0.009189814409307042,0,0,0,0,0
CREG1,0.009169929184928326,0,0,0,0,0
E2F6P4,0.009060560450845382,0,0,0,0,0
ENSG00000259986,0.008987174503733451,0,0,0,0,0
THRB,0.00891236818345161,0,0,0,0,0
ENSG00000288843,0.008827145793257109,0,0,0,0,0
SLC14A1,0.00877601235914041,0,0,0,0,0
MTRNR2L8,0.008592784220222232,0,0,0,0,0
ENSG00000284931,0.007978236095375218,0,0,0,0,0
BF,NA,0.7903572184788754,0.7100557123196171,0.6704592957246395,1,0.5848616668572019
PostProbs,NA,0.0285,5e-4,4e-4,4e-4,4e-4
R2,NA,1,1,1,1,1
dim,NA,2,3,3,3,3
logmarg,NA,7.311051010978616,7.203909427440975,7.146528985961438,7.5463212714104095,7.009941344786655
