gene_type	gene_name
protein_coding	CDK11A
lncRNA	ENSG00000268575
transcribed_processed_pseudogene	ENSG00000227775
transcribed_unprocessed_pseudogene	SLC35E2A
protein_coding	NADK
protein_coding	GNB1
lncRNA	GNB1-DT
protein_coding	CALML6
protein_coding	TMEM52
protein_coding	CFAP74
lncRNA	ENSG00000233542
protein_coding	GABRD
lncRNA	PRKCZ-DT
protein_coding	PRKCZ
lncRNA	ENSG00000271806
lncRNA	PRKCZ-AS1
protein_coding	FAAP20
lncRNA	ENSG00000234396
protein_coding	SKI
lncRNA	ENSG00000287356
protein_coding	MORN1
lncRNA	ENSG00000272161
transcribed_processed_pseudogene	ENSG00000269896
lncRNA	ENSG00000272420
protein_coding	RER1
protein_coding	PEX10
protein_coding	PLCH2
lncRNA	ENSG00000224387
lncRNA	ENSG00000229393
protein_coding	PANK4
protein_coding	HES5
lncRNA	ENSG00000272449
lncRNA	TNFRSF14-AS1
protein_coding	TNFRSF14
TEC	ENSG00000225931
lncRNA	ENSG00000228037
lncRNA	ENSG00000289610
protein_coding	PRXL2B
protein_coding	MMEL1
lncRNA	MMEL1-AS1
protein_coding	TTC34
lncRNA	ENSG00000285945
lncRNA	ENSG00000283259
lncRNA	ENSG00000233234
lncRNA	ENSG00000287396
lncRNA	ENSG00000231630
lncRNA	ENSG00000284745
protein_coding	ACTRT2
lncRNA	PRDM16-DT
protein_coding	PRDM16
miRNA	MIR4251
lncRNA	ENSG00000226286
TEC	ENSG00000279839
lncRNA	ENSG00000272235
lncRNA	ENSG00000287828
lncRNA	ENSG00000286518
protein_coding	ARHGEF16
lncRNA	ENSG00000272088
protein_coding	MEGF6
miRNA	MIR551A
lncRNA	ENSG00000238260
protein_coding	TPRG1L
protein_coding	WRAP73
protein_coding	TP73
lncRNA	TP73-AS3
lncRNA	TP73-AS2
transcribed_unitary_pseudogene	TP73-AS1
misc_RNA	ENSG00000276189
protein_coding	CCDC27
protein_coding	SMIM1
protein_coding	LRRC47
misc_RNA	RN7SL574P
lncRNA	ENSG00000272153
protein_coding	CEP104
protein_coding	DFFB
protein_coding	C1orf174
lncRNA	LINC01134
lncRNA	LINC01346
lncRNA	LINC01345
lncRNA	LINC02780
lncRNA	ENSG00000284703
processed_pseudogene	EEF1DP6
lncRNA	LINC01777
lncRNA	ENSG00000284694
lncRNA	ENSG00000227169
lncRNA	LINC01646
protein_coding	AJAP1
lncRNA	ENSG00000287586
lncRNA	ENSG00000284739
lncRNA	LINC02781
lncRNA	LINC02782
lncRNA	ENSG00000284616
lncRNA	ENSG00000284692
lncRNA	ENSG00000284666
lncRNA	ENSG00000260972
unprocessed_pseudogene	ENSG00000283356
lncRNA	ENSG00000236948
miRNA	ENSG00000264341
miRNA	MIR4689
protein_coding	NPHP4
protein_coding	KCNAB2
protein_coding	CHD5
protein_coding	ENSG00000285629
protein_coding	RPL22
lncRNA	RNF207-AS1
protein_coding	RNF207
protein_coding	ICMT
lncRNA	ICMT-DT
protein_coding	HES3
protein_coding	GPR153
protein_coding	ACOT7
lncRNA	ENSG00000271746
protein_coding	HES2
protein_coding	ESPN
miRNA	MIR4252
lncRNA	ENSG00000231868
protein_coding	TNFRSF25
protein_coding	PLEKHG5
protein_coding	NOL9
snRNA	RNU6-731P
processed_pseudogene	ENSG00000229519
protein_coding	TAS1R1
protein_coding	ZBTB48
protein_coding	KLHL21
protein_coding	PHF13
protein_coding	THAP3
protein_coding	DNAJC11
lncRNA	LINC01672
lncRNA	ENSG00000284744
lncRNA	CAMTA1-DT
protein_coding	CAMTA1
processed_pseudogene	ENSG00000227950
lncRNA	ENSG00000237365
snRNA	RNU1-8P
lncRNA	CAMTA1-IT1
lncRNA	CAMTA1-AS2
lncRNA	CAMTA1-AS1
lncRNA	ENSG00000270171
lncRNA	ENSG00000270035
lncRNA	ENSG00000269978
protein_coding	VAMP3
lncRNA	ENSG00000269925
protein_coding	PER3
lncRNA	ENSG00000236266
protein_coding	UTS2
protein_coding	TNFRSF9
processed_pseudogene	ENSG00000270330
protein_coding	PARK7
misc_RNA	Y_RNA
lncRNA	ENSG00000284747
lncRNA	ENSG00000284716
protein_coding	ERRFI1
lncRNA	ERRFI1-DT
processed_pseudogene	ENSG00000232848
processed_pseudogene	ENSG00000229305
lncRNA	ENSG00000288816
lncRNA	LINC01714
snRNA	RNU1-7P
lncRNA	ENSG00000233645
snRNA	RNU6-991P
protein_coding	SLC45A1
protein_coding	RERE
lncRNA	RERE-AS1
snoRNA	ENSG00000221083
processed_pseudogene	ENSG00000270282
processed_pseudogene	RPL7P11
processed_pseudogene	RPL7P7
unprocessed_pseudogene	ENSG00000226545
lncRNA	ENSG00000228423
processed_pseudogene	RPL23AP19
protein_coding	ENO1
miRNA	MIR6728
lncRNA	ENO1-AS1
snRNA	RNU6-304P
processed_pseudogene	HMGN2P17
processed_pseudogene	ENSG00000232208
processed_pseudogene	ENSG00000232663
protein_coding	CA6
misc_RNA	RN7SL451P
protein_coding	SLC2A7
protein_coding	SLC2A5
scaRNA	ENSG00000252404
protein_coding	GPR157
lncRNA	MIR34AHG
miRNA	MIR34A
lncRNA	LNCTAM34A
protein_coding	H6PD
protein_coding	SPSB1
lncRNA	ENSG00000284652
lncRNA	LINC02606
rRNA_pseudogene	RNA5SP40
lncRNA	ENSG00000235263
protein_coding	SLC25A33
processed_pseudogene	ENSG00000231181
protein_coding	TMEM201
protein_coding	PIK3CD
lncRNA	PIK3CD-AS1
processed_pseudogene	ENSG00000233268
lncRNA	PIK3CD-AS2
protein_coding	CLSTN1
processed_pseudogene	MZT1P1
TEC	ENSG00000280113
protein_coding	CTNNBIP1
lncRNA	ENSG00000223989
lncRNA	ENSG00000285701
protein_coding	LZIC
lncRNA	ENSG00000228150
protein_coding	NMNAT1
misc_RNA	RN7SKP269
unitary_pseudogene	TMEM274P
miRNA	MIR5697
lncRNA	ENSG00000241326
protein_coding	RBP7
protein_coding	UBE4B
processed_pseudogene	ENSG00000224340
processed_pseudogene	PGAM1P11
snRNA	RNU6-828P
protein_coding	KIF1B
miRNA	ENSG00000264881
snRNA	RNU6-37P
misc_RNA	RN7SL731P
lncRNA	ENSG00000284735
lncRNA	ENSG00000284642
protein_coding	PGD
lncRNA	ENSG00000271989
protein_coding	CENPS-CORT
protein_coding	CENPS
protein_coding	CORT
protein_coding	DFFA
lncRNA	ENSG00000203469
protein_coding	PEX14
lncRNA	ENSG00000287727
misc_RNA	RN7SL614P
protein_coding	CASZ1
lncRNA	ENSG00000272078
processed_pseudogene	HSPE1P24
protein_coding	C1orf127
processed_pseudogene	CFL1P6
protein_coding	TARDBP
protein_coding	MASP2
protein_coding	SRM
protein_coding	EXOSC10
lncRNA	ENSG00000226849
lncRNA	EXOSC10-AS1
protein_coding	MTOR
lncRNA	MTOR-AS1
snRNA	RNU6-537P
protein_coding	ANGPTL7
snRNA	RNU6-291P
processed_pseudogene	RPL39P6
protein_coding	UBIAD1
processed_pseudogene	UBE2V2P3
lncRNA	ENSG00000284646
processed_pseudogene	MTCYBP45
protein_coding	DISP3
lncRNA	ENSG00000285833
lncRNA	LINC01647
lncRNA	ENSG00000284708
protein_coding	FBXO2
protein_coding	FBXO44
protein_coding	FBXO6
protein_coding	MAD2L2
protein_coding	DRAXIN
protein_coding	AGTRAP
protein_coding	C1orf167
lncRNA	C1orf167-AS1
protein_coding	MTHFR
protein_coding	CLCN6
misc_RNA	ENSG00000276470
misc_RNA	ENSG00000278852
protein_coding	NPPA
misc_RNA	ENSG00000275915
protein_coding	NPPB
processed_pseudogene	SBF1P2
lncRNA	ENSG00000285646
snRNA	RNU5E-1
snRNA	RNU5E-4P
protein_coding	KIAA2013
protein_coding	PLOD1
lncRNA	ENSG00000287384
protein_coding	MFN2
processed_pseudogene	ENSG00000270914
protein_coding	MIIP
miRNA	MIR6729
misc_RNA	RN7SL649P
protein_coding	TNFRSF8
snRNA	RNU6-777P
processed_pseudogene	RPL23AP89
lncRNA	ENSG00000285604
miRNA	MIR7846
protein_coding	TNFRSF1B
miRNA	MIR4632
processed_pseudogene	RPL10P17
snoRNA	SNORA70
protein_coding	VPS13D
snoRNA	SNORA59A
lncRNA	LINC02766
protein_coding	DHRS3
snRNA	RNU6ATAC18P
miRNA	MIR6730
lncRNA	ENSG00000288927
lncRNA	ENSG00000272482
protein_coding	AADACL4
processed_pseudogene	ENSG00000226166
protein_coding	AADACL3
protein_coding	CFAP107
protein_coding	PRAMEF12
protein_coding	PRAMEF1
lncRNA	LINC01784
protein_coding	PRAMEF11
unprocessed_pseudogene	PRAMEF30P
protein_coding	HNRNPCL1
protein_coding	PRAMEF2
protein_coding	PRAMEF4
protein_coding	PRAMEF10
protein_coding	PRAMEF7
snRNA	RNU6-1072P
unprocessed_pseudogene	PRAMEF29P
protein_coding	PRAMEF6
unprocessed_pseudogene	PRAMEF28P
protein_coding	PRAMEF27
protein_coding	HNRNPCL3
protein_coding	PRAMEF25
unprocessed_pseudogene	PRAMEF34P
unprocessed_pseudogene	PRAMEF35P
protein_coding	HNRNPCL2
transcribed_unprocessed_pseudogene	PRAMEF36P
lncRNA	ENSG00000233336
protein_coding	PRAMEF26
protein_coding	HNRNPCL4
protein_coding	PRAMEF9
protein_coding	PRAMEF13
protein_coding	PRAMEF18
unprocessed_pseudogene	PRAMEF31P
protein_coding	PRAMEF5
unprocessed_pseudogene	PRAMEF32P
snRNA	RNU6-771P
protein_coding	PRAMEF8
protein_coding	PRAMEF33
protein_coding	PRAMEF15
lncRNA	ENSG00000228229
protein_coding	PRAMEF14
protein_coding	PRAMEF19
protein_coding	PRAMEF17
protein_coding	PRAMEF20
protein_coding	LRRC38
lncRNA	ENSG00000259961
processed_pseudogene	BRWD1P1
protein_coding	PDPN
rRNA_pseudogene	RNA5SP41
lncRNA	ENSG00000237445
scaRNA	ENSG00000253085
protein_coding	PRDM2
lncRNA	ENSG00000289380
protein_coding	KAZN
snRNA	RNU6-1265P
lncRNA	ENSG00000231606
lncRNA	KAZN-AS1
processed_pseudogene	TBCAP2
lncRNA	ENSG00000287756
lncRNA	TMEM51-AS1
protein_coding	TMEM51
lncRNA	TMEM51-AS2
processed_pseudogene	MFFP1
processed_pseudogene	ZBTB2P1
protein_coding	FHAD1
lncRNA	FHAD1-AS1
lncRNA	ENSG00000236045
lncRNA	EFHD2-AS1
protein_coding	EFHD2
protein_coding	CTRC
protein_coding	CELA2A
protein_coding	CELA2B
protein_coding	CASP9
protein_coding	DNAJC16
scaRNA	SCARNA21B
lncRNA	ENSG00000272510
protein_coding	AGMAT
lncRNA	ENSG00000237301
processed_pseudogene	CHCHD2P6
snRNA	RNU7-179P
processed_pseudogene	CD24P1
protein_coding	DDI2
protein_coding	RSC1A1
lncRNA	ENSG00000271742
protein_coding	PLEKHM2
lncRNA	ENSG00000237938
protein_coding	SLC25A34
lncRNA	SLC25A34-AS1
protein_coding	TMEM82
protein_coding	FBLIM1
processed_pseudogene	RPL12P14
protein_coding	UQCRHL
processed_pseudogene	ENSG00000178715
lncRNA	FLJ37453
protein_coding	SPEN
unprocessed_pseudogene	ENSG00000270620
protein_coding	ZBTB17
processed_pseudogene	ENSG00000234607
unprocessed_pseudogene	ENSG00000231353
processed_pseudogene	ENSG00000275503
unprocessed_pseudogene	TBC1D3P6
protein_coding	SRARP
lncRNA	ENSG00000233078
protein_coding	HSPB7
protein_coding	CLCNKA
unprocessed_pseudogene	ENSG00000232456
protein_coding	CLCNKB
protein_coding	FAM131C
protein_coding	EPHA2
lncRNA	EPHA2-AS1
lncRNA	ENSG00000224621
lncRNA	ARHGEF19-AS1
protein_coding	ARHGEF19
transcribed_unprocessed_pseudogene	ANO7L1
lncRNA	ENSG00000288398
protein_coding	CPLANE2
processed_pseudogene	MT1XP1
protein_coding	FBXO42
protein_coding	SZRD1
processed_pseudogene	RPL22P3
protein_coding	SPATA21
protein_coding	NECAP2
lncRNA	LINC01772
transcribed_unprocessed_pseudogene	CROCCP3
snRNA	RNU1-1
lncRNA	ENSG00000261135
lncRNA	ENSG00000285853
lncRNA	ENSG00000224174
lncRNA	LINC01783
snRNA	RNU1-6P
unprocessed_pseudogene	PDE4DIPP8
protein_coding	NBPF1
lncRNA	ENSG00000271732
transcribed_unprocessed_pseudogene	CROCCP2
transcribed_unprocessed_pseudogene	ENSG00000283773
unprocessed_pseudogene	MST1P2
lncRNA	ENSG00000282143
snRNA	RNU1-3
unprocessed_pseudogene	ENSG00000280114
processed_pseudogene	EIF1AXP1
transcribed_unprocessed_pseudogene	ESPNP
lncRNA	ENSG00000279151
lncRNA	ENSG00000282740
protein_coding	CROCC
transcribed_unprocessed_pseudogene	CROCCP4
snRNA	RNU1-4
transcribed_unprocessed_pseudogene	MST1L
lncRNA	ENSG00000223643
unprocessed_pseudogene	PDE4DIPP9
miRNA	MIR3675
lncRNA	ENSG00000228549
snRNA	RNU1-5P
lncRNA	ENSG00000238142
processed_pseudogene	ENSG00000235241
snRNA	RNU1-2
lncRNA	ENSG00000272426
protein_coding	MFAP2
lncRNA	ENSG00000286898
lncRNA	ENSG00000226526
protein_coding	ATP13A2
protein_coding	ENSG00000288636
protein_coding	SDHB
protein_coding	PADI2
lncRNA	LINC02783
lncRNA	ENSG00000282843
protein_coding	PADI1
protein_coding	PADI3
miRNA	MIR3972
protein_coding	PADI4
protein_coding	PADI6
lncRNA	RCC2-AS1
protein_coding	RCC2
protein_coding	ARHGEF10L
lncRNA	LINC02810
protein_coding	ACTL8
lncRNA	ENSG00000284653
lncRNA	LINC01654
protein_coding	IGSF21
TEC	ENSG00000280222
lncRNA	IGSF21-AS1
lncRNA	ENSG00000225387
protein_coding	KLHDC7A
processed_pseudogene	DYNLL1P3
processed_pseudogene	ENSG00000225478
protein_coding	PAX7
protein_coding	TAS1R2
protein_coding	ALDH4A1
miRNA	MIR4695
miRNA	MIR1290
protein_coding	IFFO2
lncRNA	ENSG00000272084
protein_coding	UBR4
lncRNA	EMC1-AS1
protein_coding	EMC1
protein_coding	MRTO4
unprocessed_pseudogene	ENSG00000286064
polymorphic_pseudogene	AKR7L
protein_coding	AKR7A3
processed_pseudogene	ENSG00000270728
protein_coding	AKR7A2
snRNA	RNU6-1099P
protein_coding	SLC66A1
protein_coding	CAPZB
misc_RNA	RN7SL277P
protein_coding	MICOS10
snRNA	RNU4-28P
lncRNA	MICOS10-DT
protein_coding	NBL1
protein_coding	MICOS10-NBL1
processed_pseudogene	ENSG00000226396
protein_coding	HTR6
protein_coding	TMCO4
protein_coding	RNF186
lncRNA	RNF186-AS1
protein_coding	OTUD3
protein_coding	PLA2G2E
misc_RNA	RN7SL304P
protein_coding	PLA2G2A
protein_coding	PLA2G5
protein_coding	PLA2G2D
protein_coding	PLA2G2F
lncRNA	ENSG00000227066
protein_coding	PLA2G2C
protein_coding	UBXN10
lncRNA	LINC01757
lncRNA	ENSG00000284710
protein_coding	VWA5B1
lncRNA	ENSG00000226664
lncRNA	LINC01141
lncRNA	ENSG00000226487
lncRNA	ENSG00000284641
lncRNA	ENSG00000284743
protein_coding	CAMK2N1
lncRNA	ENSG00000289402
protein_coding	MUL1
processed_pseudogene	RPS4XP4
protein_coding	FAM43B
protein_coding	CDA
protein_coding	PINK1
miRNA	MIR6084
lncRNA	PINK1-AS
protein_coding	DDOST
protein_coding	KIF17
unprocessed_pseudogene	ENSG00000235432
protein_coding	SH2D5
lncRNA	ENSG00000233069
protein_coding	HP1BP3
protein_coding	EIF4G3
snRNA	RNU7-200P
miRNA	MIR1256
processed_pseudogene	RPS15AP6
processed_pseudogene	ENSG00000236073
processed_pseudogene	HSPE1P27
lncRNA	ENSG00000287192
protein_coding	ECE1
lncRNA	ENSG00000236936
lncRNA	ECE1-AS1
processed_pseudogene	PPP1R11P1
unprocessed_pseudogene	PDE4DIPP10
lncRNA	ENSG00000236009
unprocessed_pseudogene	NBPF2P
processed_pseudogene	HS6ST1P1
unprocessed_pseudogene	CROCCP5
protein_coding	NBPF3
processed_pseudogene	PFN1P10
protein_coding	ALPL
protein_coding	ENSG00000289715
lncRNA	LINC02596
protein_coding	RAP1GAP
protein_coding	USP48
processed_pseudogene	ENSG00000231978
protein_coding	LDLRAD2
protein_coding	HSPG2
processed_pseudogene	ENSG00000232037
transcribed_unitary_pseudogene	ENSG00000283234
protein_coding	CELA3B
lncRNA	ENSG00000285959
misc_RNA	RN7SL386P
snRNA	RNU6-1022P
protein_coding	CELA3A
misc_RNA	RN7SL186P
snRNA	RNU6-776P
lncRNA	LINC01635
lncRNA	LINC00339
protein_coding	ENSG00000289694
lncRNA	CDC42-AS1
transcribed_processed_pseudogene	ENSG00000285794
protein_coding	CDC42
lncRNA	CDC42-IT1
processed_pseudogene	MPHOSPH6P1
protein_coding	WNT4
lncRNA	ENSG00000285873
miRNA	MIR4418
processed_pseudogene	PPIAP34
TEC	ENSG00000279625
protein_coding	ZBTB40
lncRNA	ZBTB40-IT1
protein_coding	EPHA8
miRNA	MIR6127
protein_coding	C1QA
protein_coding	ENSG00000289692
protein_coding	C1QC
protein_coding	C1QB
protein_coding	EPHB2
miRNA	MIR4684
lncRNA	ENSG00000225952
miRNA	MIR4253
protein_coding	LACTBL1
protein_coding	TEX46
protein_coding	KDM1A
lncRNA	ENSG00000240553
miRNA	MIR3115
miRNA	ENSG00000266802
protein_coding	LUZP1
processed_pseudogene	ENSG00000229010
snRNA	RNU6-514P
snRNA	RNU6-135P
lncRNA	ENSG00000289014
protein_coding	HTR1D
processed_pseudogene	ENSG00000215381
lncRNA	LINC01355
lncRNA	ENSG00000284726
protein_coding	HNRNPR
protein_coding	ZNF436
lncRNA	ZNF436-AS1
lncRNA	ENSG00000271420
protein_coding	TCEA3
processed_pseudogene	ENSG00000232482
protein_coding	ASAP3
protein_coding	E2F2
lncRNA	ENSG00000235052
protein_coding	ID3
lncRNA	ENSG00000285802
lncRNA	MDS2
unprocessed_pseudogene	ENSG00000229239
protein_coding	RPL11
lncRNA	ELOA-AS1
protein_coding	ELOA
protein_coding	PITHD1
protein_coding	LYPLA2
protein_coding	GALE
protein_coding	HMGCL
protein_coding	FUCA1
protein_coding	CNR2
processed_pseudogene	BTBD6P1
lncRNA	ENSG00000232557
miRNA	MIR378F
processed_pseudogene	H3P1
protein_coding	PNRC2
protein_coding	SRSF10
processed_pseudogene	ENSG00000215905
lncRNA	ENSG00000225315
protein_coding	MYOM3
lncRNA	MYOM3-AS1
protein_coding	IL22RA1
protein_coding	IFNLR1
protein_coding	GRHL3
lncRNA	LINC02800
lncRNA	GRHL3-AS1
protein_coding	STPG1
protein_coding	NIPAL3
lncRNA	ENSG00000288982
lncRNA	RCAN3AS
protein_coding	RCAN3
lncRNA	NCMAP-DT
protein_coding	NCMAP
processed_pseudogene	ENSG00000227312
protein_coding	SRRM1
lncRNA	ENSG00000284699
protein_coding	CLIC4
snRNA	RNU6-1208P
protein_coding	RUNX3
miRNA	MIR6731
lncRNA	RUNX3-AS1
lncRNA	ENSG00000261025
miRNA	MIR4425
lncRNA	LINC02793
lncRNA	ENSG00000233755
processed_pseudogene	IFITM3P7
lncRNA	ENSG00000231953
protein_coding	SYF2
lncRNA	ENSG00000284602
lncRNA	ENSG00000284657
protein_coding	RSRP1
lncRNA	ENSG00000272432
unprocessed_pseudogene	ENSG00000261349
protein_coding	RHD
processed_pseudogene	SDHDP6
unprocessed_pseudogene	ENSG00000259984
protein_coding	TMEM50A
protein_coding	RHCE
processed_pseudogene	ENSG00000238084
protein_coding	MACO1
protein_coding	LDLRAP1
lncRNA	ENSG00000225643
protein_coding	MAN1C1
lncRNA	ENSG00000233478
protein_coding	SELENON
protein_coding	ENSG00000255054
lncRNA	ENSG00000228172
protein_coding	MTFR1L
lncRNA	ENSG00000272478
protein_coding	AUNIP
lncRNA	ENSG00000236528
protein_coding	PAQR7
protein_coding	STMN1
processed_pseudogene	SNRPFP2
processed_pseudogene	ENSG00000223624
miRNA	MIR3917
protein_coding	PAFAH2
snRNA	RNU6-110P
scaRNA	ENSG00000252190
scaRNA	ENSG00000252691
protein_coding	EXTL1
protein_coding	SLC30A2
lncRNA	ENSG00000284309
protein_coding	TRIM63
protein_coding	PDIK1L
protein_coding	FAM110D
protein_coding	C1orf232
protein_coding	ZNF593OS
protein_coding	ZNF593
protein_coding	CNKSR1
protein_coding	CATSPER4
transcribed_unprocessed_pseudogene	ZPLD2P
unprocessed_pseudogene	ENSG00000278572
protein_coding	CEP85
processed_pseudogene	ENSG00000270733
protein_coding	SH3BGRL3
protein_coding	UBXN11
protein_coding	CD52
protein_coding	CRYBG2
processed_pseudogene	ENSG00000225854
protein_coding	ZNF683
protein_coding	LIN28A
protein_coding	DHDDS
processed_pseudogene	ENSG00000223583
lncRNA	DHDDS-AS1
protein_coding	HMGN2
processed_pseudogene	DPPA2P2
protein_coding	RPS6KA1
miRNA	MIR1976
misc_RNA	RN7SL679P
snRNA	RNU7-29P
lncRNA	ENSG00000289452
processed_pseudogene	ENSG00000229247
snoRNA	ENSG00000238316
processed_pseudogene	ENSG00000235069
lncRNA	ENSG00000260063
protein_coding	ARID1A
protein_coding	PIGV
misc_RNA	RN7SL165P
unprocessed_pseudogene	ENSG00000287810
protein_coding	ZDHHC18
protein_coding	SFN
protein_coding	GPN2
lncRNA	ENSG00000226698
lncRNA	ENSG00000289554
protein_coding	GPATCH3
protein_coding	NUDC
protein_coding	NR0B2
protein_coding	KDF1
unprocessed_pseudogene	RPL12P13
processed_pseudogene	RPL32P6
processed_pseudogene	OSTCP2
protein_coding	TRNP1
protein_coding	TENT5B
protein_coding	SLC9A1
processed_pseudogene	ENSG00000229985
processed_pseudogene	CHCHD3P3
processed_pseudogene	NPM1P39
processed_pseudogene	SNRPEP7
lncRNA	WDTC1-DT
protein_coding	WDTC1
processed_pseudogene	ENSG00000243659
protein_coding	TMEM222
snRNA	RNU6-48P
processed_pseudogene	ACTG1P20
protein_coding	SYTL1
protein_coding	MAP3K6
protein_coding	FCN3
protein_coding	CD164L2
processed_pseudogene	ENSG00000231207
protein_coding	GPR3
protein_coding	WASF2
lncRNA	ENSG00000241169
lncRNA	ENSG00000237429
protein_coding	AHDC1
protein_coding	FGR
processed_pseudogene	ENSG00000235912
lncRNA	LINC02574
protein_coding	IFI6
lncRNA	ENSG00000225886
snRNA	RNU6-949P
processed_pseudogene	CHMP1AP1
snRNA	RNU6-424P
lncRNA	ENSG00000287244
protein_coding	FAM76A
processed_pseudogene	ENSG00000231344
processed_pseudogene	RPEP3
protein_coding	STX12
lncRNA	ENSG00000269971
lncRNA	ENSG00000270031
snRNA	RNU6-1245P
lncRNA	ENSG00000286433
protein_coding	PPP1R8
scaRNA	SCARNA1
protein_coding	THEMIS2
protein_coding	RPA2
protein_coding	SMPDL3B
lncRNA	ENSG00000227050
protein_coding	XKR8
protein_coding	EYA3
processed_pseudogene	ENSG00000238231
misc_RNA	RN7SL559P
processed_pseudogene	SPCS2P4
processed_pseudogene	ENSG00000228943
lncRNA	ENSG00000289576
processed_pseudogene	ENSG00000214812
snRNA	RNU6-176P
protein_coding	PTAFR
protein_coding	DNAJC8
protein_coding	ATP5IF1
lncRNA	ENSG00000270605
lncRNA	ENSG00000271398
protein_coding	SESN2
protein_coding	MED18
protein_coding	PHACTR4
processed_pseudogene	ENSG00000229820
snRNA	RNU6ATAC27P
protein_coding	RCC1
lncRNA	SNHG3
snoRNA	SNORA73A
snoRNA	SNORA73B
processed_pseudogene	PRDX3P2
TEC	ENSG00000279443
protein_coding	TRNAU1AP
lncRNA	SNHG12
snoRNA	SNORD99
snoRNA	SNORA61
snoRNA	SNORA44
snoRNA	SNORA16A
protein_coding	TAF12
protein_coding	RAB42
lncRNA	TAF12-DT
lncRNA	ENSG00000270103
