Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-4/duplicates/RSQ_169b_sorted_q10_mrkDup.bam
GNB1-DT	0
CALML6	0
TMEM52	14
CFAP74	0
ENSG00000233542	0
GABRD	0
PRKCZ-DT	0
PRKCZ	15
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	304
ENSG00000234396	0
SKI	1453
ENSG00000287356	0
MORN1	98
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	0
RER1	102
PEX10	24
PLCH2	0
ENSG00000224387	0
ENSG00000229393	0
PANK4	199
HES5	0
ENSG00000272449	0
TNFRSF14-AS1	0
TNFRSF14	583
ENSG00000225931	33
ENSG00000228037	0
ENSG00000289610	0
PRXL2B	178
MMEL1	69
MMEL1-AS1	0
TTC34	0
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	0
PRDM16	0
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	0
ENSG00000287828	0
ENSG00000286518	0
ARHGEF16	0
ENSG00000272088	0
MEGF6	67
MIR551A	0
ENSG00000238260	0
TPRG1L	379
WRAP73	22
TP73	1
TP73-AS3	0
TP73-AS2	0
TP73-AS1	78
ENSG00000276189	0
CCDC27	0
SMIM1	7
LRRC47	360
RN7SL574P	0
ENSG00000272153	0
CEP104	397
DFFB	161
C1orf174	751
LINC01134	0
LINC01346	0
LINC01345	0
LINC02780	0
ENSG00000284703	0
EEF1DP6	0
LINC01777	0
ENSG00000284694	0
ENSG00000227169	0
LINC01646	0
AJAP1	0
ENSG00000287586	50
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	47
ENSG00000264341	0
MIR4689	0
NPHP4	54
KCNAB2	1357
CHD5	0
ENSG00000285629	0
RPL22	333
RNF207-AS1	0
RNF207	0
ICMT	57
ICMT-DT	0
HES3	0
GPR153	63
ACOT7	419
ENSG00000271746	0
HES2	0
ESPN	102
MIR4252	0
ENSG00000231868	45
TNFRSF25	0
PLEKHG5	70
NOL9	306
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	43
KLHL21	0
PHF13	90
THAP3	44
DNAJC11	590
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	1445
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	822
ENSG00000269925	0
PER3	294
ENSG00000236266	0
UTS2	72
TNFRSF9	0
ENSG00000270330	0
PARK7	1134
Y_RNA	359
ENSG00000284747	3
ENSG00000284716	0
ERRFI1	100
ERRFI1-DT	0
ENSG00000232848	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	0
ENSG00000233645	0
RNU6-991P	0
SLC45A1	0
RERE	1842
RERE-AS1	1
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	7971
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	0
ENSG00000232663	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	0
ENSG00000252404	0
GPR157	3
MIR34AHG	0
MIR34A	0
LNCTAM34A	0
H6PD	24
SPSB1	69
ENSG00000284652	0
LINC02606	10
RNA5SP40	0
ENSG00000235263	0
SLC25A33	42
ENSG00000231181	0
TMEM201	0
PIK3CD	1482
PIK3CD-AS1	29
ENSG00000233268	0
PIK3CD-AS2	0
CLSTN1	387
MZT1P1	2
ENSG00000280113	0
CTNNBIP1	569
ENSG00000223989	0
ENSG00000285701	16
LZIC	1520
ENSG00000228150	0
NMNAT1	290
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	347
UBE4B	736
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	468
ENSG00000264881	0
RNU6-37P	0
RN7SL731P	0
ENSG00000284735	0
ENSG00000284642	0
PGD	3800
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	0
DFFA	155
ENSG00000203469	0
PEX14	218
ENSG00000287727	0
RN7SL614P	0
CASZ1	46
ENSG00000272078	0
HSPE1P24	0
C1orf127	5
CFL1P6	0
TARDBP	456
MASP2	0
SRM	254
EXOSC10	677
ENSG00000226849	0
EXOSC10-AS1	0
MTOR	575
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	0
UBIAD1	38
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	0
DISP3	0
ENSG00000285833	0
LINC01647	0
ENSG00000284708	0
FBXO2	139
FBXO44	21
FBXO6	41
MAD2L2	301
DRAXIN	0
AGTRAP	78
C1orf167	0
C1orf167-AS1	0
MTHFR	471
CLCN6	214
ENSG00000276470	0
ENSG00000278852	0
NPPA	0
ENSG00000275915	0
NPPB	0
SBF1P2	0
ENSG00000285646	0
RNU5E-1	0
RNU5E-4P	0
KIAA2013	248
PLOD1	126
ENSG00000287384	0
MFN2	3424
ENSG00000270914	0
MIIP	442
MIR6729	0
RN7SL649P	0
TNFRSF8	315
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	285
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	877
SNORA59A	0
LINC02766	0
DHRS3	553
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	0
ENSG00000272482	7
AADACL4	101
ENSG00000226166	0
AADACL3	0
CFAP107	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	9
HNRNPCL2	0
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	80
PRAMEF18	1
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
ENSG00000228229	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	1
PRAMEF20	0
LRRC38	0
ENSG00000259961	0
BRWD1P1	0
PDPN	0
RNA5SP41	0
ENSG00000237445	0
ENSG00000253085	0
PRDM2	2606
ENSG00000289380	0
KAZN	133
RNU6-1265P	0
ENSG00000231606	0
KAZN-AS1	0
TBCAP2	0
ENSG00000287756	0
TMEM51-AS1	9
TMEM51	0
TMEM51-AS2	0
MFFP1	0
ZBTB2P1	0
FHAD1	51
FHAD1-AS1	0
ENSG00000236045	0
EFHD2-AS1	0
EFHD2	8553
CTRC	0
CELA2A	0
CELA2B	0
CASP9	505
DNAJC16	835
SCARNA21B	0
ENSG00000272510	0
AGMAT	23
ENSG00000237301	0
CHCHD2P6	0
RNU7-179P	0
CD24P1	0
DDI2	569
RSC1A1	0
ENSG00000271742	0
PLEKHM2	488
ENSG00000237938	0
SLC25A34	6
SLC25A34-AS1	0
TMEM82	0
FBLIM1	0
RPL12P14	0
UQCRHL	22
ENSG00000178715	0
FLJ37453	9
SPEN	3103
ENSG00000270620	0
ZBTB17	330
ENSG00000234607	0
ENSG00000231353	0
ENSG00000275503	0
TBC1D3P6	0
SRARP	0
ENSG00000233078	0
HSPB7	0
CLCNKA	8
ENSG00000232456	0
CLCNKB	0
FAM131C	0
EPHA2	0
EPHA2-AS1	0
ENSG00000224621	0
ARHGEF19-AS1	0
ARHGEF19	4
ANO7L1	0
ENSG00000288398	32
CPLANE2	273
MT1XP1	0
FBXO42	165
SZRD1	1176
RPL22P3	0
SPATA21	0
NECAP2	523
LINC01772	0
CROCCP3	83
RNU1-1	37
ENSG00000261135	0
ENSG00000285853	0
ENSG00000224174	0
LINC01783	0
RNU1-6P	0
PDE4DIPP8	0
NBPF1	158
ENSG00000271732	0
CROCCP2	144
ENSG00000283773	0
MST1P2	2
ENSG00000282143	0
RNU1-3	0
ENSG00000280114	0
EIF1AXP1	10
ESPNP	58
ENSG00000279151	0
ENSG00000282740	0
CROCC	140
CROCCP4	1
RNU1-4	0
MST1L	0
ENSG00000223643	0
PDE4DIPP9	0
MIR3675	0
ENSG00000228549	0
RNU1-5P	0
ENSG00000238142	0
ENSG00000235241	0
RNU1-2	0
ENSG00000272426	0
MFAP2	0
ENSG00000286898	0
ENSG00000226526	3
ATP13A2	64
ENSG00000288636	0
SDHB	609
PADI2	774
LINC02783	0
ENSG00000282843	0
PADI1	0
PADI3	24
MIR3972	0
PADI4	410
PADI6	0
RCC2-AS1	0
RCC2	1265
ARHGEF10L	92
LINC02810	0
ACTL8	0
ENSG00000284653	0
LINC01654	0
IGSF21	0
ENSG00000280222	0
IGSF21-AS1	0
ENSG00000225387	0
KLHDC7A	0
DYNLL1P3	0
ENSG00000225478	0
PAX7	0
TAS1R2	0
ALDH4A1	23
MIR4695	0
MIR1290	0
IFFO2	237
ENSG00000272084	0
UBR4	2007
EMC1-AS1	0
EMC1	60
MRTO4	74
ENSG00000286064	0
AKR7L	0
AKR7A3	0
ENSG00000270728	0
AKR7A2	326
RNU6-1099P	0
SLC66A1	43
CAPZB	7621
RN7SL277P	0
MICOS10	37
RNU4-28P	0
MICOS10-DT	0
NBL1	56
MICOS10-NBL1	0
ENSG00000226396	0
HTR6	0
TMCO4	68
RNF186	0
RNF186-AS1	0
OTUD3	65
PLA2G2E	0
RN7SL304P	0
PLA2G2A	5
PLA2G5	0
PLA2G2D	0
PLA2G2F	0
ENSG00000227066	0
PLA2G2C	0
UBXN10	0
LINC01757	0
ENSG00000284710	0
VWA5B1	2
ENSG00000226664	0
LINC01141	0
ENSG00000226487	0
ENSG00000284641	0
ENSG00000284743	0
CAMK2N1	118
ENSG00000289402	0
MUL1	0
RPS4XP4	0
FAM43B	41
CDA	450
PINK1	427
MIR6084	0
PINK1-AS	0
DDOST	191
KIF17	106
ENSG00000235432	0
SH2D5	0
ENSG00000233069	0
HP1BP3	3212
EIF4G3	16012
RNU7-200P	0
MIR1256	0
RPS15AP6	0
ENSG00000236073	0
HSPE1P27	0
ENSG00000287192	0
ECE1	2797
ENSG00000236936	74
ECE1-AS1	0
PPP1R11P1	0
PDE4DIPP10	14
ENSG00000236009	0
NBPF2P	62
HS6ST1P1	0
CROCCP5	0
NBPF3	138
PFN1P10	0
ALPL	144
ENSG00000289715	0
LINC02596	0
RAP1GAP	23
USP48	2271
ENSG00000231978	0
LDLRAD2	9
HSPG2	62
ENSG00000232037	0
ENSG00000283234	0
CELA3B	0
ENSG00000285959	0
RN7SL386P	0
RNU6-1022P	0
CELA3A	0
RN7SL186P	0
RNU6-776P	0
LINC01635	0
LINC00339	0
ENSG00000289694	0
CDC42-AS1	47
ENSG00000285794	0
CDC42	169
CDC42-IT1	0
MPHOSPH6P1	0
WNT4	0
ENSG00000285873	0
MIR4418	0
PPIAP34	0
ENSG00000279625	0
ZBTB40	619
ZBTB40-IT1	0
EPHA8	0
MIR6127	0
C1QA	0
ENSG00000289692	0
C1QC	313
C1QB	19
EPHB2	0
MIR4684	0
ENSG00000225952	0
MIR4253	0
LACTBL1	0
TEX46	0
KDM1A	1710
ENSG00000240553	15
MIR3115	0
ENSG00000266802	0
LUZP1	303
ENSG00000229010	0
RNU6-514P	0
RNU6-135P	0
ENSG00000289014	0
HTR1D	0
ENSG00000215381	0
LINC01355	0
ENSG00000284726	0
HNRNPR	3961
ZNF436	167
ZNF436-AS1	0
ENSG00000271420	0
TCEA3	460
ENSG00000232482	0
ASAP3	16
E2F2	154
ENSG00000235052	0
ID3	8
ENSG00000285802	0
MDS2	38
ENSG00000229239	0
RPL11	10383
ELOA-AS1	8
ELOA	832
PITHD1	1317
LYPLA2	284
GALE	53
HMGCL	252
FUCA1	0
CNR2	9
BTBD6P1	0
ENSG00000232557	0
MIR378F	0
H3P1	0
PNRC2	2281
SRSF10	2281
ENSG00000215905	0
ENSG00000225315	0
MYOM3	4
MYOM3-AS1	0
IL22RA1	0
IFNLR1	0
GRHL3	0
LINC02800	0
GRHL3-AS1	0
STPG1	65
NIPAL3	732
ENSG00000288982	0
RCAN3AS	0
RCAN3	1699
NCMAP-DT	0
NCMAP	0
ENSG00000227312	0
SRRM1	6430
ENSG00000284699	0
CLIC4	6776
RNU6-1208P	0
RUNX3	1350
MIR6731	0
RUNX3-AS1	0
ENSG00000261025	0
MIR4425	0
LINC02793	0
ENSG00000233755	0
IFITM3P7	0
ENSG00000231953	0
SYF2	6731
ENSG00000284602	0
ENSG00000284657	3
RSRP1	1599
ENSG00000272432	3
ENSG00000261349	2
RHD	740
SDHDP6	0
ENSG00000259984	0
TMEM50A	2931
RHCE	15
ENSG00000238084	0
MACO1	354
LDLRAP1	3004
ENSG00000225643	30
MAN1C1	103
ENSG00000233478	0
SELENON	936
ENSG00000255054	0
ENSG00000228172	17
MTFR1L	497
ENSG00000272478	0
AUNIP	5
ENSG00000236528	0
PAQR7	261
STMN1	865
SNRPFP2	0
ENSG00000223624	0
MIR3917	0
PAFAH2	123
RNU6-110P	0
ENSG00000252190	0
ENSG00000252691	0
EXTL1	0
SLC30A2	0
ENSG00000284309	0
TRIM63	0
PDIK1L	21
FAM110D	0
C1orf232	0
ZNF593OS	0
ZNF593	0
CNKSR1	0
CATSPER4	1
ZPLD2P	0
ENSG00000278572	0
CEP85	215
ENSG00000270733	0
SH3BGRL3	55109
UBXN11	926
CD52	366
CRYBG2	0
ENSG00000225854	0
ZNF683	0
LIN28A	0
DHDDS	195
ENSG00000223583	0
DHDDS-AS1	0
HMGN2	2380
DPPA2P2	0
RPS6KA1	2025
MIR1976	0
RN7SL679P	0
RNU7-29P	0
ENSG00000289452	0
ENSG00000229247	0
ENSG00000238316	0
ENSG00000235069	0
ENSG00000260063	0
ARID1A	6252
PIGV	32
RN7SL165P	0
ENSG00000287810	0
ZDHHC18	323
SFN	17
GPN2	238
ENSG00000226698	0
ENSG00000289554	0
GPATCH3	175
NUDC	2568
NR0B2	0
KDF1	33
RPL12P13	0
RPL32P6	0
OSTCP2	0
TRNP1	0
TENT5B	0
SLC9A1	1465
ENSG00000229985	0
CHCHD3P3	0
NPM1P39	5
SNRPEP7	0
WDTC1-DT	0
WDTC1	1284
ENSG00000243659	2
TMEM222	32
RNU6-48P	0
ACTG1P20	0
SYTL1	177
MAP3K6	0
FCN3	0
CD164L2	0
ENSG00000231207	0
GPR3	0
WASF2	4457
ENSG00000241169	0
ENSG00000237429	0
AHDC1	36
FGR	2120
ENSG00000235912	1
LINC02574	9
IFI6	60
ENSG00000225886	0
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
ENSG00000287244	0
FAM76A	127
ENSG00000231344	0
RPEP3	0
STX12	284
ENSG00000269971	0
ENSG00000270031	0
RNU6-1245P	0
ENSG00000286433	0
PPP1R8	319
SCARNA1	0
THEMIS2	2039
RPA2	276
SMPDL3B	0
ENSG00000227050	0
XKR8	6
EYA3	506
ENSG00000238231	0
RN7SL559P	0
SPCS2P4	1
ENSG00000228943	0
ENSG00000289576	0
ENSG00000214812	0
RNU6-176P	0
PTAFR	86
DNAJC8	3087
ATP5IF1	1917
ENSG00000270605	0
ENSG00000271398	0
SESN2	191
MED18	79
PHACTR4	2006
ENSG00000229820	0
RNU6ATAC27P	0
RCC1	308
SNHG3	0
SNORA73A	0
SNORA73B	0
PRDX3P2	0
ENSG00000279443	0
TRNAU1AP	131
SNHG12	8
SNORD99	0
SNORA61	0
SNORA44	0
SNORA16A	0
TAF12	386
RAB42	0
TAF12-DT	0
ENSG00000270103	0
RNU11	0
GMEB1	467
ENSG00000252777	0
ENSG00000289291	0
YTHDF2	685
OPRD1	0
ENSG00000233427	0
EPB41	26045
ENSG00000225616	29
Metazoa_SRP	10
TMEM200B	0
ENSG00000225750	0
SRSF4	4125
ENSG00000277916	0
MECR	9
ENSG00000237934	0
PTPRU	26
LINC01756	0
ENSG00000225011	0
ENSG00000228176	0
ENSG00000284676	0
ENSG00000270927	0
LINC01648	0
ENSG00000233372	0
ENSG00000231251	0
ENSG00000236335	0
ENSG00000231949	0
ENSG00000289710	7
MATN1	0
MATN1-AS1	0
ENSG00000287510	0
LAPTM5	3220
MIR4420	0
ENSG00000229607	0
LINC01778	0
RN7SKP91	0
ENSG00000235143	0
SDC3	7
RN7SL371P	0
PUM1	1419
ENSG00000237329	0
ENSG00000232768	0
SELENOWP1	0
ENSG00000225142	0
NKAIN1	0
SNRNP40	377
ENSG00000229447	0
ZCCHC17	4731
ENSG00000229044	0
FABP3	0
SERINC2	54
ENSG00000215899	0
RNU6-40P	0
LDC1P	0
LINC01226	0
ENSG00000229167	0
TINAGL1	102
HCRTR1	0
PEF1	93
PEF1-AS1	0
ENSG00000264078	0
COL16A1	0
ADGRB2	0
MIR4254	0
ENSG00000254545	0
SPOCD1	309
ENSG00000203620	0
ENSG00000269967	0
PTP4A2	10543
ENSG00000288678	0
ENSG00000228634	0
ENSG00000284702	0
KHDRBS1	2605
ENSG00000203325	0
TMEM39B	18
MIR5585	0
KPNA6	537
ENSG00000250135	0
TXLNA	860
CCDC28B	113
ENSG00000224066	0
IQCC	0
DCDC2B	0
TMEM234	0
EIF3I	953
MTMR9LP	0
FAM167B	0
LCK	600
HDAC1	722
MARCKSL1	1329
ENSG00000233775	0
TSSK3	0
FAM229A	62
BSDC1	941
GAPDHP20	0
ENSG00000270850	0
LRRC37A12P	0
RN7SL122P	0
ENSG00000254553	0
ZBTB8B	0
ZBTB8A	0
ZBTB8OS	530
RBBP4	2035
SYNC	0
ENSG00000224409	0
KIAA1522	98
YARS1	707
S100PBP	145
FNDC5	0
HPCA	2
TMEM54	0
ENSG00000287691	0
RNF19B	466
ENSG00000278966	0
ENSG00000217644	6
ENSG00000239670	0
ENSG00000236065	0
AK2	585
AZIN2	6
ENSG00000278997	0
TRIM62	131
ENSG00000279179	0
ENSG00000284721	0
ZNF362	569
ENSG00000270115	0
A3GALT2	0
ENSG00000225313	0
PHC2	836
MIR3605	0
RN7SKP16	0
PHC2-AS1	0
TLR12P	0
ZSCAN20	0
ENSG00000235907	0
CSMD2	1
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
ENSG00000270241	0
ENSG00000287703	0
MIR552	0
SMIM12	104
GJB5	37
GJB4	0
ENSG00000255811	0
GJB3	0
GJA4	5
ENSG00000230163	0
DLGAP3	178
ENSG00000284773	0
GPR199P	0
ENSG00000271741	0
TMEM35B	1
ZMYM6	155
ZMYM1	116
RPL12P45	0
EFCAB14P1	0
ENSG00000284640	0
SFPQ	5747
ZMYM4	2334
RN7SL503P	0
SNORA62	0
RPL5P4	9
ZMYM4-AS1	0
KIAA0319L	390
ENSG00000236274	6
NCDN	19
TFAP2E-AS1	0
TFAP2E	0
PSMB2	521
C1orf216	3
CLSPN	315
ENSG00000232335	0
AGO4	788
AGO1	2509
CFAP97P1	0
ENSG00000286899	0
ENSG00000271914	0
AGO3	634
ENSG00000271554	0
ENSG00000232862	0
TEKT2	0
ADPRS	105
COL8A2	0
TRAPPC3	135
MAP7D1	2400
RN7SL131P	0
THRAP3	6502
UBE2V2P4	0
SH3D21	0
EVA1B	0
ENSG00000286379	0
STK40	5579
LSM10	40
RNU4-27P	0
OSCP1	0
SNORA63C	0
MRPS15	287
CSF3R	1039
FTLP18	0
ENSG00000284705	0
ENSG00000284720	0
ENSG00000234481	0
GRIK3	0
ENSG00000284650	0
ENSG00000223944	0
MIR4255	0
RNU6-636P	0
RNA5SP43	0
RPS29P6	0
ZC3H12A-DT	293
ZC3H12A	154
MIR6732	0
MEAF6	630
MIR5581	0
SNIP1	424
FTH1P1	0
ENSG00000237749	0
DNALI1	0
GNL2	951
ENSG00000284748	0
RSPO1	0
C1orf109	38
CDCA8	43
EPHA10	0
ACTN4P2	0
ENSG00000227416	0
MANEAL	0
ENSG00000233728	0
YRDC	0
C1orf122	27
MTF1	552
ENSG00000235673	0
ENSG00000230955	0
INPP5B	474
SNORA63	0
RNU6-584P	0
SF3A3	1514
RNU6-510P	0
FHL3	124
UTP11	827
POU3F1	0
MIR3659HG	0
ENSG00000223589	0
MIR3659	0
LINC02786	0
ENSG00000286552	0
ENSG00000287987	0
LINC01343	0
ENSG00000275350	0
RNU6-753P	0
LINC01685	0
HSPA5P1	0
ENSG00000284632	0
RRAGC	318
ENSG00000273637	0
RRAGC-DT	0
MYCBP	263
ENSG00000274944	0
GJA9	0
RHBDL2	0
RNU6-605P	0
EIF1P2	0
AKIRIN1	786
NDUFS5	1493
MACF1	4268
RNU6-608P	0
RNA5SP44	0
ENSG00000287422	0
ENSG00000226438	0
HSPE1P8	0
BMP8A	0
OXCT2P1	0
PPIEL	0
PABPC4	1879
PABPC4-AS1	0
SNORA55	0
HEYL	30
ENSG00000225903	0
NT5C1A	0
HPCAL4	0
PPIE	312
ENSG00000225333	0
RNU7-121P	0
ENSG00000289711	0
BMP8B	12
OXCT2	0
BMP8B-AS1	0
ENSG00000261798	0
ENSG00000229213	0
ENSG00000284719	0
LINC02811	0
TRIT1	28
MYCL	205
MYCL-AS1	0
MFSD2A	0
ENSG00000228477	0
CAP1	15389
PPT1	51
OAZ1P1	0
RLF	494
RNU6-1237P	0
TMCO2	0
ZMPSTE24-DT	135
ZMPSTE24	172
ENSG00000231296	0
COL9A2	184
ENSG00000227311	0
SMAP2	3400
ENSG00000213172	0
ENSG00000284677	0
ZFP69B	50
ENSG00000260920	3
ENSG00000279667	0
ZFP69	143
EXO5-DT	0
EXO5	102
ENSG00000227278	0
ENSG00000238186	0
ZNF684	6
ENSG00000286838	0
ENSG00000236505	0
GTF2F2P2	0
RIMS3	64
ENSG00000287743	0
ENSG00000237899	0
NFYC-AS1	0
NFYC	1186
MIR30E	0
MIR30C1	0
KCNQ4	57
RN7SL326P	0
CITED4	3
ENSG00000229528	0
ENSG00000228940	0
ENSG00000286668	0
UBE2V1P8	0
CTPS1	46
SLFNL1-AS1	0
SLFNL1	0
SCMH1	605
RPL23AP17	0
ENSG00000287400	0
SCMH1-DT	0
ENSG00000213987	0
ENSG00000286640	10
FOXO6	0
FOXO6-AS1	0
RNA5SP45	0
EDN2	0
HIVEP3	816
ENSG00000230881	0
ENSG00000230638	0
ENSG00000284895	0
ENSG00000287587	0
HNRNPFP1	0
ENSG00000228776	0
GUCA2B	0
GUCA2A	0
FOXJ3	873
ENSG00000227527	63
RIMKLA	41
ENSG00000235002	0
ZMYND12	46
PPCS	1104
CCDC30	382
RPS3AP11	0
TMSB4XP1	1
RNU6-536P	0
ENSG00000236180	0
PPIH	1
ENSG00000285728	0
ENSG00000234917	0
YBX1	25827
CLDN19	0
P3H1	124
C1orf50	0
ENSG00000283580	0
ENSG00000228452	0
TMEM269	6
SVBP	701
ERMAP	181
ZNF691-DT	0
ZNF691	68
ENSG00000233708	0
MKRN8P	0
ATP6V1E1P1	0
ENSG00000288955	0
SLC2A1	233
ATP6V0CP4	0
SLC2A1-DT	17
ENSG00000283973	0
RNU6-880P	0
ENSG00000277513	0
FAM183A	14
EBNA1BP2	615
MIR6733	0
CFAP57	11
RNA5SP46	0
TMEM125	0
C1orf210	0
TIE1	8
MPL	4443
ENSG00000287113	0
CDC20-DT	22
CDC20	52
ELOVL1	65
MIR6734	0
ENSG00000288772	0
MED8	165
MED8-AS1	0
SZT2	86
SZT2-AS1	0
MIR6735	0
HYI	0
HYI-AS1	0
PTPRF	401
KDM4A	525
ENSG00000284989	0
KDM4A-AS1	0
ST3GAL3	241
ST3GAL3-AS1	0
ENSG00000233674	0
MIR6079	0
SHMT1P1	0
ARTN	0
LINC02918	0
ENSG00000288573	0
IPO13	25
ENSG00000285649	6
DPH2	151
ATP6V0B	0
B4GALT2	0
CCDC24	0
SLC6A9	14
ENSG00000230615	40
ENSG00000227163	0
KRT8P47	0
RN7SL479P	0
KLF17	0
ENSG00000233514	0
KLF18	0
ENSG00000226804	0
OOSP1P1	0
ENSG00000227994	0
ENSG00000271329	0
DMAP1	435
ERI3	10
ERI3-IT1	0
RNU6-369P	0
RNF220	1136
MIR5584	0
TMEM53	0
ARMH1	23
RNU5F-1	0
RNU5D-1	0
KIF2C	13
ENSG00000225721	0
RPS8	8820
SNORD55	0
SNORD46	0
SNORD38A	0
SNORD38B	0
RPS15AP11	5
BEST4	0
PLK3	135
DYNLT4	0
BTBD19	82
PTCH2	0
RNU5E-6P	0
ENSG00000226499	0
EIF2B3	193
RNA5SP47	0
CCNB1IP1P1	0
PPIAP35	0
MRPS17P1	0
HECTD3	408
UROD	552
ZSWIM5	26
