Set;SeqID;RNA_extraction;Library_preparation;Total_number_of_reads;Number_of_unique_reads;Exon_fraction;Intron_fraction;Intergenic_fraction;Fraction_protein_coding
Validation;RSQ_169b;batch7;batch3;41091726;34452215;0.93;0.05;0.02;0.87
Validation;RSQ_171b;batch6;batch3;43997417;35073332;0.93;0.05;0.02;0.78
Validation;RSQ_177;batch4;batch4;37506679;30534084;0.69;0.22;0.09;0.71
Validation;RSQ_178;batch4;batch4;43446571;36566835;0.95;0.04;0.01;0.79
Validation;RSQ_179;batch4;batch4;45419463;35887750;0.92;0.06;0.02;0.86
Validation;RSQ_180;batch4;batch4;39794385;31445458;0.94;0.05;0.01;0.84
Validation;RSQ_181;batch4;batch4;41258803;34374819;0.93;0.05;0.02;0.83
Validation;RSQ_182;batch4;batch4;46219892;39711701;0.94;0.04;0.01;0.80
Validation;RSQ_183;batch4;batch4;42546602;34105678;0.95;0.04;0.01;0.82
Validation;RSQ_184;batch4;batch4;39110078;33476255;0.61;0.28;0.11;0.62
Validation;RSQ_188;batch9;batch4;45529234;40591516;0.94;0.04;0.02;0.81
Validation;RSQ_190;batch9;batch4;58526837;47914592;0.94;0.04;0.01;0.87
Validation;RSQ_192;batch9;batch4;42744939;37325748;0.94;0.04;0.02;0.85
