Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates_rm/PP084_sorted_q10_rmDup.bam
ENSG00000289610	0
PRXL2B	5
MMEL1	3
MMEL1-AS1	1
TTC34	8
ENSG00000285945	0
ENSG00000283259	1
ENSG00000233234	1
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	1
ACTRT2	1
PRDM16-DT	5
PRDM16	7
MIR4251	0
ENSG00000226286	1
ENSG00000279839	1
ENSG00000272235	0
ENSG00000287828	0
ENSG00000286518	10
ARHGEF16	1
ENSG00000272088	2
MEGF6	5
MIR551A	0
ENSG00000238260	1
TPRG1L	19
WRAP73	3
TP73	7
TP73-AS3	0
TP73-AS2	0
TP73-AS1	9
ENSG00000276189	0
CCDC27	6
SMIM1	11
LRRC47	11
RN7SL574P	0
ENSG00000272153	0
CEP104	20
DFFB	2
C1orf174	9
LINC01134	5
LINC01346	3
LINC01345	1
LINC02780	0
ENSG00000284703	4
EEF1DP6	0
LINC01777	0
ENSG00000284694	1
ENSG00000227169	0
LINC01646	5
AJAP1	12
ENSG00000287586	2
ENSG00000284739	1
LINC02781	3
LINC02782	0
ENSG00000284616	0
ENSG00000284692	1
ENSG00000284666	0
ENSG00000260972	1
ENSG00000283356	0
ENSG00000236948	2
ENSG00000264341	0
MIR4689	0
NPHP4	16
KCNAB2	22
CHD5	18
ENSG00000285629	0
RPL22	140
RNF207-AS1	0
RNF207	7
ICMT	3
ICMT-DT	1
HES3	0
GPR153	9
ACOT7	21
ENSG00000271746	1
HES2	3
ESPN	64
MIR4252	0
ENSG00000231868	0
TNFRSF25	5
PLEKHG5	10
NOL9	9
RNU6-731P	0
ENSG00000229519	0
TAS1R1	2
ZBTB48	1
KLHL21	16
PHF13	7
THAP3	2
DNAJC11	10
LINC01672	2
ENSG00000284744	0
CAMTA1-DT	1
CAMTA1	95
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	1
CAMTA1-AS1	1
ENSG00000270171	2
ENSG00000270035	0
ENSG00000269978	0
VAMP3	95
ENSG00000269925	0
PER3	11
ENSG00000236266	0
UTS2	1
TNFRSF9	6
ENSG00000270330	0
PARK7	55
Y_RNA	611
ENSG00000284747	0
ENSG00000284716	0
ERRFI1	6
ERRFI1-DT	4
ENSG00000232848	2
ENSG00000229305	1
ENSG00000288816	0
LINC01714	1
RNU1-7P	3
ENSG00000233645	4
RNU6-991P	0
SLC45A1	4
RERE	70
RERE-AS1	3
ENSG00000221083	0
ENSG00000270282	1
RPL7P11	1
RPL7P7	1
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	1
ENO1	111
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	1
ENSG00000232208	2
ENSG00000232663	0
CA6	6
RN7SL451P	0
SLC2A7	1
SLC2A5	6
ENSG00000252404	0
GPR157	6
MIR34AHG	4
MIR34A	0
LNCTAM34A	5
H6PD	9
SPSB1	12
ENSG00000284652	1
LINC02606	1
RNA5SP40	0
ENSG00000235263	1
SLC25A33	1
ENSG00000231181	0
TMEM201	11
PIK3CD	25
PIK3CD-AS1	3
ENSG00000233268	2
PIK3CD-AS2	2
CLSTN1	9
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	17
ENSG00000223989	0
ENSG00000285701	1
LZIC	48
ENSG00000228150	0
NMNAT1	7
RN7SKP269	3
TMEM274P	1
MIR5697	0
ENSG00000241326	0
RBP7	12
UBE4B	32
ENSG00000224340	0
PGAM1P11	2
RNU6-828P	0
KIF1B	49
ENSG00000264881	0
RNU6-37P	1
RN7SL731P	0
ENSG00000284735	3
ENSG00000284642	2
PGD	58
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	0
DFFA	5
ENSG00000203469	0
PEX14	9
ENSG00000287727	1
RN7SL614P	0
CASZ1	9
ENSG00000272078	2
HSPE1P24	0
C1orf127	5
CFL1P6	1
TARDBP	39
MASP2	2
SRM	7
EXOSC10	17
ENSG00000226849	0
EXOSC10-AS1	1
MTOR	23
MTOR-AS1	2
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	0
UBIAD1	9
UBE2V2P3	1
ENSG00000284646	0
MTCYBP45	0
DISP3	8
ENSG00000285833	0
LINC01647	1
ENSG00000284708	0
FBXO2	4
FBXO44	5
FBXO6	3
MAD2L2	9
DRAXIN	4
AGTRAP	9
C1orf167	5
C1orf167-AS1	1
MTHFR	8
CLCN6	9
ENSG00000276470	0
ENSG00000278852	0
NPPA	0
ENSG00000275915	0
NPPB	1
SBF1P2	5
ENSG00000285646	16
RNU5E-1	0
RNU5E-4P	1
KIAA2013	2
PLOD1	4
ENSG00000287384	1
MFN2	119
ENSG00000270914	0
MIIP	11
MIR6729	0
RN7SL649P	0
TNFRSF8	10
RNU6-777P	0
RPL23AP89	1
ENSG00000285604	1
MIR7846	0
TNFRSF1B	8
MIR4632	0
RPL10P17	0
SNORA70	5
VPS13D	35
SNORA59A	0
LINC02766	2
DHRS3	14
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	0
ENSG00000272482	1
AADACL4	7
ENSG00000226166	0
AADACL3	1
CFAP107	4
PRAMEF12	0
PRAMEF1	2
LINC01784	0
PRAMEF11	0
PRAMEF30P	1
HNRNPCL1	0
PRAMEF2	3
PRAMEF4	2
PRAMEF10	3
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	1
HNRNPCL3	2
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	2
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	1
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	1
PRAMEF15	2
ENSG00000228229	1
PRAMEF14	1
PRAMEF19	2
PRAMEF17	1
PRAMEF20	2
LRRC38	1
ENSG00000259961	0
BRWD1P1	0
PDPN	5
RNA5SP41	0
ENSG00000237445	0
ENSG00000253085	1
PRDM2	79
ENSG00000289380	0
KAZN	11
RNU6-1265P	0
ENSG00000231606	1
KAZN-AS1	3
TBCAP2	0
ENSG00000287756	2
TMEM51-AS1	11
TMEM51	2
TMEM51-AS2	1
MFFP1	1
ZBTB2P1	1
FHAD1	17
FHAD1-AS1	0
ENSG00000236045	0
EFHD2-AS1	8
EFHD2	74
CTRC	7
CELA2A	0
CELA2B	2
CASP9	7
DNAJC16	44
SCARNA21B	0
ENSG00000272510	0
AGMAT	3
ENSG00000237301	1
CHCHD2P6	1
RNU7-179P	0
CD24P1	0
DDI2	67
RSC1A1	1
ENSG00000271742	1
PLEKHM2	10
ENSG00000237938	1
SLC25A34	1
SLC25A34-AS1	0
TMEM82	1
FBLIM1	3
RPL12P14	2
UQCRHL	8
ENSG00000178715	0
FLJ37453	3
SPEN	64
ENSG00000270620	0
ZBTB17	2
ENSG00000234607	2
ENSG00000231353	0
ENSG00000275503	3
TBC1D3P6	0
SRARP	0
ENSG00000233078	0
HSPB7	10
CLCNKA	1
ENSG00000232456	0
CLCNKB	7
FAM131C	1
EPHA2	5
EPHA2-AS1	1
ENSG00000224621	1
ARHGEF19-AS1	0
ARHGEF19	1
ANO7L1	7
ENSG00000288398	3
CPLANE2	5
MT1XP1	0
FBXO42	6
SZRD1	35
RPL22P3	0
SPATA21	1
NECAP2	18
LINC01772	1
CROCCP3	1
RNU1-1	0
ENSG00000261135	0
ENSG00000285853	1
ENSG00000224174	0
LINC01783	1
RNU1-6P	0
PDE4DIPP8	0
NBPF1	22
ENSG00000271732	3
CROCCP2	18
ENSG00000283773	0
MST1P2	4
ENSG00000282143	0
RNU1-3	0
ENSG00000280114	0
EIF1AXP1	1
ESPNP	2
ENSG00000279151	0
ENSG00000282740	0
CROCC	8
CROCCP4	0
RNU1-4	2
MST1L	5
ENSG00000223643	0
PDE4DIPP9	0
MIR3675	0
ENSG00000228549	6
RNU1-5P	0
ENSG00000238142	0
ENSG00000235241	0
RNU1-2	0
ENSG00000272426	0
MFAP2	2
ENSG00000286898	0
ENSG00000226526	4
ATP13A2	6
ENSG00000288636	0
SDHB	14
PADI2	11
LINC02783	5
ENSG00000282843	2
PADI1	9
PADI3	1
MIR3972	0
PADI4	30
PADI6	5
RCC2-AS1	0
RCC2	23
ARHGEF10L	10
LINC02810	0
ACTL8	1
ENSG00000284653	2
LINC01654	2
IGSF21	7
ENSG00000280222	12
IGSF21-AS1	1
ENSG00000225387	0
KLHDC7A	0
DYNLL1P3	1
ENSG00000225478	0
PAX7	9
TAS1R2	5
ALDH4A1	8
MIR4695	0
MIR1290	0
IFFO2	8
ENSG00000272084	0
UBR4	135
EMC1-AS1	0
EMC1	18
MRTO4	3
ENSG00000286064	0
AKR7L	2
AKR7A3	1
ENSG00000270728	0
AKR7A2	2
RNU6-1099P	0
SLC66A1	5
CAPZB	115
RN7SL277P	1
MICOS10	9
RNU4-28P	0
MICOS10-DT	1
NBL1	1
MICOS10-NBL1	0
ENSG00000226396	0
HTR6	2
TMCO4	3
RNF186	1
RNF186-AS1	0
OTUD3	8
PLA2G2E	5
RN7SL304P	1
PLA2G2A	1
PLA2G5	8
PLA2G2D	3
PLA2G2F	5
ENSG00000227066	1
PLA2G2C	5
UBXN10	4
LINC01757	0
ENSG00000284710	4
VWA5B1	9
ENSG00000226664	0
LINC01141	8
ENSG00000226487	2
ENSG00000284641	2
ENSG00000284743	0
CAMK2N1	7
ENSG00000289402	2
MUL1	0
RPS4XP4	0
FAM43B	2
CDA	3
PINK1	40
MIR6084	0
PINK1-AS	3
DDOST	5
KIF17	8
ENSG00000235432	1
SH2D5	3
ENSG00000233069	0
HP1BP3	186
EIF4G3	248
RNU7-200P	0
MIR1256	0
RPS15AP6	0
ENSG00000236073	1
HSPE1P27	0
ENSG00000287192	1
ECE1	58
ENSG00000236936	3
ECE1-AS1	1
PPP1R11P1	0
PDE4DIPP10	2
ENSG00000236009	2
NBPF2P	0
HS6ST1P1	0
CROCCP5	0
NBPF3	7
PFN1P10	0
ALPL	3
ENSG00000289715	0
LINC02596	0
RAP1GAP	64
USP48	96
ENSG00000231978	0
LDLRAD2	3
HSPG2	25
ENSG00000232037	0
ENSG00000283234	1
CELA3B	0
ENSG00000285959	0
RN7SL386P	0
RNU6-1022P	0
CELA3A	2
RN7SL186P	0
RNU6-776P	0
LINC01635	6
LINC00339	0
ENSG00000289694	0
CDC42-AS1	0
ENSG00000285794	0
CDC42	27
CDC42-IT1	1
MPHOSPH6P1	1
WNT4	7
ENSG00000285873	1
MIR4418	0
PPIAP34	0
ENSG00000279625	1
ZBTB40	18
ZBTB40-IT1	0
EPHA8	7
MIR6127	0
C1QA	1
ENSG00000289692	0
C1QC	2
C1QB	6
EPHB2	16
MIR4684	0
ENSG00000225952	1
MIR4253	0
LACTBL1	2
TEX46	1
KDM1A	61
ENSG00000240553	1
MIR3115	0
ENSG00000266802	0
LUZP1	23
ENSG00000229010	0
RNU6-514P	0
RNU6-135P	0
ENSG00000289014	2
HTR1D	2
ENSG00000215381	0
LINC01355	0
ENSG00000284726	4
HNRNPR	59
ZNF436	7
ZNF436-AS1	2
ENSG00000271420	0
TCEA3	5
ENSG00000232482	0
ASAP3	6
E2F2	99
ENSG00000235052	1
ID3	8
ENSG00000285802	1
MDS2	5
ENSG00000229239	1
RPL11	257
ELOA-AS1	6
ELOA	14
PITHD1	144
LYPLA2	3
GALE	3
HMGCL	5
FUCA1	2
CNR2	2
BTBD6P1	1
ENSG00000232557	1
MIR378F	0
H3P1	2
PNRC2	31
SRSF10	46
ENSG00000215905	0
ENSG00000225315	0
MYOM3	23
MYOM3-AS1	0
IL22RA1	6
IFNLR1	6
GRHL3	4
LINC02800	3
GRHL3-AS1	2
STPG1	12
NIPAL3	17
ENSG00000288982	0
RCAN3AS	2
RCAN3	69
NCMAP-DT	0
NCMAP	6
ENSG00000227312	0
SRRM1	89
ENSG00000284699	2
CLIC4	104
RNU6-1208P	1
RUNX3	18
MIR6731	0
RUNX3-AS1	0
ENSG00000261025	1
MIR4425	0
LINC02793	3
ENSG00000233755	0
IFITM3P7	0
ENSG00000231953	1
SYF2	134
ENSG00000284602	1
ENSG00000284657	0
RSRP1	9
ENSG00000272432	1
ENSG00000261349	0
RHD	11
SDHDP6	0
ENSG00000259984	0
TMEM50A	71
RHCE	8
ENSG00000238084	1
MACO1	37
LDLRAP1	45
ENSG00000225643	0
MAN1C1	12
ENSG00000233478	0
SELENON	18
ENSG00000255054	0
ENSG00000228172	1
MTFR1L	16
ENSG00000272478	0
AUNIP	3
ENSG00000236528	1
PAQR7	3
STMN1	29
SNRPFP2	0
ENSG00000223624	0
MIR3917	0
PAFAH2	7
RNU6-110P	0
ENSG00000252190	0
ENSG00000252691	0
EXTL1	2
SLC30A2	8
ENSG00000284309	2
TRIM63	3
PDIK1L	4
FAM110D	3
C1orf232	5
ZNF593OS	0
ZNF593	0
CNKSR1	5
CATSPER4	1
ZPLD2P	2
ENSG00000278572	1
CEP85	17
ENSG00000270733	0
SH3BGRL3	803
UBXN11	23
CD52	22
CRYBG2	2
ENSG00000225854	0
ZNF683	4
LIN28A	1
DHDDS	18
ENSG00000223583	0
DHDDS-AS1	2
HMGN2	77
DPPA2P2	0
RPS6KA1	29
MIR1976	0
RN7SL679P	3
RNU7-29P	0
ENSG00000289452	0
ENSG00000229247	0
ENSG00000238316	0
ENSG00000235069	0
ENSG00000260063	1
ARID1A	94
PIGV	6
RN7SL165P	0
ENSG00000287810	0
ZDHHC18	14
SFN	3
GPN2	5
ENSG00000226698	0
ENSG00000289554	0
GPATCH3	5
NUDC	70
NR0B2	2
KDF1	1
RPL12P13	0
RPL32P6	0
OSTCP2	1
TRNP1	2
TENT5B	0
SLC9A1	14
ENSG00000229985	0
CHCHD3P3	0
NPM1P39	0
SNRPEP7	0
WDTC1-DT	0
WDTC1	50
ENSG00000243659	0
TMEM222	3
RNU6-48P	0
ACTG1P20	0
SYTL1	5
MAP3K6	5
FCN3	4
CD164L2	1
ENSG00000231207	0
GPR3	0
WASF2	285
ENSG00000241169	0
ENSG00000237429	0
AHDC1	10
FGR	23
ENSG00000235912	0
LINC02574	2
IFI6	26
ENSG00000225886	1
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
ENSG00000287244	1
FAM76A	6
ENSG00000231344	0
RPEP3	0
STX12	24
ENSG00000269971	0
ENSG00000270031	0
RNU6-1245P	1
ENSG00000286433	2
PPP1R8	13
SCARNA1	2
THEMIS2	11
RPA2	18
SMPDL3B	1
ENSG00000227050	0
XKR8	4
EYA3	24
ENSG00000238231	0
RN7SL559P	1
SPCS2P4	2
ENSG00000228943	0
ENSG00000289576	2
ENSG00000214812	0
RNU6-176P	0
PTAFR	9
DNAJC8	58
ATP5IF1	53
ENSG00000270605	1
ENSG00000271398	0
SESN2	3
MED18	6
PHACTR4	47
ENSG00000229820	0
RNU6ATAC27P	0
RCC1	9
SNHG3	0
SNORA73A	0
SNORA73B	18
PRDX3P2	0
ENSG00000279443	0
TRNAU1AP	3
SNHG12	3
SNORD99	0
SNORA61	0
SNORA44	0
SNORA16A	0
TAF12	16
RAB42	3
TAF12-DT	1
ENSG00000270103	0
RNU11	0
GMEB1	9
ENSG00000252777	1
ENSG00000289291	1
YTHDF2	31
OPRD1	10
ENSG00000233427	0
EPB41	2690
ENSG00000225616	1
Metazoa_SRP	34
TMEM200B	1
ENSG00000225750	0
SRSF4	69
ENSG00000277916	0
MECR	6
ENSG00000237934	0
PTPRU	9
LINC01756	3
ENSG00000225011	0
ENSG00000228176	0
ENSG00000284676	2
ENSG00000270927	0
LINC01648	1
ENSG00000233372	0
ENSG00000231251	0
ENSG00000236335	3
ENSG00000231949	0
ENSG00000289710	2
MATN1	2
MATN1-AS1	0
ENSG00000287510	0
LAPTM5	77
MIR4420	0
ENSG00000229607	1
LINC01778	1
RN7SKP91	0
ENSG00000235143	1
SDC3	4
RN7SL371P	0
PUM1	34
ENSG00000237329	1
ENSG00000232768	0
SELENOWP1	0
ENSG00000225142	1
NKAIN1	3
SNRNP40	19
ENSG00000229447	0
ZCCHC17	82
ENSG00000229044	1
FABP3	1
SERINC2	8
ENSG00000215899	1
RNU6-40P	0
LDC1P	5
LINC01226	4
ENSG00000229167	1
TINAGL1	3
HCRTR1	1
PEF1	14
PEF1-AS1	2
ENSG00000264078	0
COL16A1	18
ADGRB2	4
MIR4254	0
ENSG00000254545	0
SPOCD1	22
ENSG00000203620	0
ENSG00000269967	1
PTP4A2	369
ENSG00000288678	0
ENSG00000228634	0
ENSG00000284702	1
KHDRBS1	32
ENSG00000203325	1
TMEM39B	7
MIR5585	0
KPNA6	69
ENSG00000250135	0
TXLNA	17
CCDC28B	3
ENSG00000224066	0
IQCC	4
DCDC2B	0
TMEM234	3
EIF3I	12
MTMR9LP	2
FAM167B	2
LCK	18
HDAC1	18
MARCKSL1	15
ENSG00000233775	0
TSSK3	0
FAM229A	1
BSDC1	78
GAPDHP20	0
ENSG00000270850	0
LRRC37A12P	5
RN7SL122P	0
ENSG00000254553	0
ZBTB8B	2
ZBTB8A	1
ZBTB8OS	27
RBBP4	41
SYNC	4
ENSG00000224409	1
KIAA1522	5
YARS1	21
S100PBP	10
FNDC5	2
HPCA	1
TMEM54	1
ENSG00000287691	1
RNF19B	12
ENSG00000278966	0
ENSG00000217644	0
ENSG00000239670	0
ENSG00000236065	0
AK2	26
AZIN2	12
ENSG00000278997	4
TRIM62	7
ENSG00000279179	4
ENSG00000284721	1
ZNF362	13
ENSG00000270115	0
A3GALT2	2
ENSG00000225313	2
PHC2	14
MIR3605	0
RN7SKP16	0
PHC2-AS1	1
TLR12P	1
ZSCAN20	11
ENSG00000235907	1
CSMD2	49
HSPD1P14	0
HMGB4	1
CSMD2-AS1	6
RNA5SP42	8
C1orf94	4
ENSG00000270241	1
ENSG00000287703	1
MIR552	0
SMIM12	10
GJB5	3
GJB4	1
ENSG00000255811	1
GJB3	1
GJA4	1
ENSG00000230163	0
DLGAP3	2
ENSG00000284773	0
GPR199P	0
ENSG00000271741	0
TMEM35B	0
ZMYM6	3
ZMYM1	7
RPL12P45	0
EFCAB14P1	2
ENSG00000284640	0
SFPQ	88
ZMYM4	74
RN7SL503P	0
SNORA62	1
RPL5P4	2
ZMYM4-AS1	0
KIAA0319L	21
ENSG00000236274	1
NCDN	2
TFAP2E-AS1	1
TFAP2E	4
PSMB2	14
C1orf216	15
CLSPN	27
ENSG00000232335	0
AGO4	31
AGO1	47
CFAP97P1	0
ENSG00000286899	1
ENSG00000271914	0
AGO3	18
ENSG00000271554	0
ENSG00000232862	0
TEKT2	2
ADPRS	3
COL8A2	0
TRAPPC3	3
MAP7D1	23
RN7SL131P	1
THRAP3	163
UBE2V2P4	0
SH3D21	9
EVA1B	0
ENSG00000286379	7
STK40	94
LSM10	8
RNU4-27P	0
OSCP1	2
SNORA63C	1
MRPS15	17
CSF3R	19
FTLP18	0
ENSG00000284705	0
ENSG00000284720	1
ENSG00000234481	2
GRIK3	7
ENSG00000284650	4
ENSG00000223944	2
MIR4255	0
RNU6-636P	0
RNA5SP43	0
RPS29P6	0
ZC3H12A-DT	6
ZC3H12A	3
MIR6732	0
MEAF6	18
MIR5581	0
SNIP1	12
FTH1P1	1
ENSG00000237749	0
DNALI1	5
GNL2	15
ENSG00000284748	0
RSPO1	4
C1orf109	8
CDCA8	7
EPHA10	4
ACTN4P2	0
ENSG00000227416	0
MANEAL	3
ENSG00000233728	0
YRDC	3
C1orf122	3
MTF1	17
ENSG00000235673	1
ENSG00000230955	0
INPP5B	25
SNORA63	0
RNU6-584P	0
SF3A3	31
RNU6-510P	3
FHL3	4
UTP11	15
POU3F1	3
MIR3659HG	0
ENSG00000223589	0
MIR3659	0
LINC02786	3
ENSG00000286552	2
ENSG00000287987	0
LINC01343	5
ENSG00000275350	0
RNU6-753P	0
LINC01685	1
HSPA5P1	2
ENSG00000284632	3
RRAGC	9
ENSG00000273637	0
RRAGC-DT	4
MYCBP	6
ENSG00000274944	0
GJA9	0
RHBDL2	2
RNU6-605P	1
EIF1P2	0
AKIRIN1	23
NDUFS5	60
MACF1	201
RNU6-608P	0
RNA5SP44	0
ENSG00000287422	0
ENSG00000226438	1
HSPE1P8	0
BMP8A	5
OXCT2P1	0
PPIEL	7
PABPC4	35
PABPC4-AS1	1
SNORA55	0
HEYL	3
ENSG00000225903	0
NT5C1A	7
HPCAL4	9
PPIE	20
ENSG00000225333	0
RNU7-121P	0
ENSG00000289711	0
BMP8B	8
OXCT2	1
BMP8B-AS1	0
ENSG00000261798	1
ENSG00000229213	0
ENSG00000284719	1
LINC02811	0
TRIT1	9
MYCL	15
MYCL-AS1	0
MFSD2A	6
ENSG00000228477	1
CAP1	329
PPT1	3
OAZ1P1	1
RLF	22
RNU6-1237P	0
TMCO2	0
ZMPSTE24-DT	2
ZMPSTE24	16
ENSG00000231296	0
COL9A2	7
ENSG00000227311	0
SMAP2	66
ENSG00000213172	0
ENSG00000284677	0
ZFP69B	0
ENSG00000260920	4
ENSG00000279667	0
ZFP69	5
EXO5-DT	1
EXO5	3
ENSG00000227278	0
ENSG00000238186	0
ZNF684	2
ENSG00000286838	0
ENSG00000236505	0
GTF2F2P2	0
RIMS3	2
ENSG00000287743	4
ENSG00000237899	0
NFYC-AS1	1
NFYC	15
MIR30E	1
MIR30C1	0
KCNQ4	3
RN7SL326P	2
CITED4	1
ENSG00000229528	0
ENSG00000228940	0
ENSG00000286668	0
UBE2V1P8	1
CTPS1	17
SLFNL1-AS1	2
SLFNL1	2
SCMH1	26
RPL23AP17	0
ENSG00000287400	0
SCMH1-DT	2
ENSG00000213987	0
ENSG00000286640	2
FOXO6	1
FOXO6-AS1	0
RNA5SP45	2
EDN2	6
HIVEP3	17
ENSG00000230881	0
ENSG00000230638	2
ENSG00000284895	0
ENSG00000287587	5
HNRNPFP1	0
ENSG00000228776	1
GUCA2B	0
GUCA2A	1
FOXJ3	42
ENSG00000227527	0
RIMKLA	9
ENSG00000235002	1
ZMYND12	7
PPCS	34
CCDC30	27
RPS3AP11	0
TMSB4XP1	4
RNU6-536P	0
ENSG00000236180	0
PPIH	3
ENSG00000285728	1
ENSG00000234917	1
YBX1	838
CLDN19	2
P3H1	11
C1orf50	5
ENSG00000283580	0
ENSG00000228452	0
TMEM269	4
SVBP	57
ERMAP	30
ZNF691-DT	5
ZNF691	3
ENSG00000233708	2
MKRN8P	0
ATP6V1E1P1	0
ENSG00000288955	0
SLC2A1	98
ATP6V0CP4	0
SLC2A1-DT	3
ENSG00000283973	3
RNU6-880P	0
ENSG00000277513	0
FAM183A	2
EBNA1BP2	10
MIR6733	0
CFAP57	5
RNA5SP46	1
TMEM125	4
C1orf210	3
TIE1	6
MPL	18
ENSG00000287113	1
CDC20-DT	2
CDC20	3
ELOVL1	5
MIR6734	0
ENSG00000288772	0
MED8	7
MED8-AS1	0
SZT2	17
SZT2-AS1	0
MIR6735	0
HYI	0
HYI-AS1	2
PTPRF	25
KDM4A	5
ENSG00000284989	0
KDM4A-AS1	4
ST3GAL3	33
ST3GAL3-AS1	0
ENSG00000233674	1
MIR6079	0
SHMT1P1	1
ARTN	0
LINC02918	1
ENSG00000288573	1
IPO13	2
ENSG00000285649	3
DPH2	2
ATP6V0B	10
B4GALT2	8
CCDC24	0
SLC6A9	8
ENSG00000230615	12
ENSG00000227163	1
KRT8P47	0
RN7SL479P	2
KLF17	5
ENSG00000233514	0
KLF18	1
ENSG00000226804	2
OOSP1P1	0
ENSG00000227994	0
ENSG00000271329	1
DMAP1	7
ERI3	1
ERI3-IT1	0
RNU6-369P	0
RNF220	16
MIR5584	0
TMEM53	3
ARMH1	2
RNU5F-1	8
RNU5D-1	1
KIF2C	10
ENSG00000225721	0
RPS8	185
SNORD55	0
SNORD46	1
SNORD38A	1
SNORD38B	0
RPS15AP11	2
BEST4	5
PLK3	3
DYNLT4	0
BTBD19	3
PTCH2	2
RNU5E-6P	0
ENSG00000226499	1
EIF2B3	4
RNA5SP47	0
CCNB1IP1P1	2
PPIAP35	0
MRPS17P1	1
HECTD3	24
UROD	26
ZSWIM5	11
OSTCP5	0
LINC01144	2
HPDL	0
MUTYH	10
ENSG00000288208	0
TOE1	1
TESK2	6
PPIAP36	0
CCDC163	5
MMACHC	2
PRDX1	15
