GeneID,Sample15,Sample18,Sample21,Sample23,Sample24,Sample25,Sample28,Sample29,Sample34,Sample35,Sample38,Sample40,Sample5,Sample1,Sample10,Sample11,Sample12,Sample13,Sample14,Sample17,Sample2,Sample20,Sample22,Sample3,Sample32,Sample37,Sample39,Sample7,Sample9
Gene49,5,4,3,4,4,6,1,11,5,5,3,8,5,1,9,6,4,8,4,1,6,5,8,6,10,8,7,10,2
Gene50,3,4,5,8,3,5,11,3,6,4,4,6,12,3,6,6,1,3,5,4,2,1,8,0,7,4,6,6,6
Gene51,7,4,7,1,8,7,9,2,6,3,4,8,4,3,2,8,9,4,5,6,7,7,3,6,6,2,3,3,6
Gene52,3,7,3,2,4,3,8,4,8,3,5,2,7,6,4,4,7,6,5,4,5,4,8,7,2,6,8,6,2
Gene53,9,7,4,5,6,3,7,1,3,8,5,10,4,5,10,9,5,8,7,7,12,4,5,7,6,4,3,3,11
Gene54,5,7,4,2,1,6,8,4,5,7,3,11,5,2,0,5,3,6,4,4,5,2,10,8,8,5,5,3,8
Gene55,6,10,6,4,4,8,4,6,5,14,4,9,4,11,4,3,3,3,2,3,4,6,6,3,5,7,7,6,8
Gene56,3,3,5,4,4,4,5,8,8,10,6,6,6,1,6,3,3,2,11,3,0,3,4,9,7,5,4,7,6
Gene57,4,3,3,2,6,5,3,9,14,2,1,3,6,4,3,1,8,11,6,6,3,9,6,5,4,4,8,4,3
Gene58,7,8,10,8,1,6,3,8,4,3,5,3,5,6,5,10,3,8,7,9,3,7,6,5,3,5,7,11,10
Gene59,5,9,6,5,2,9,7,2,2,4,8,7,5,4,5,3,5,8,5,8,1,9,7,5,4,9,3,5,5
Gene60,5,9,6,4,6,3,3,4,7,7,4,8,4,8,6,4,8,4,7,3,7,3,6,6,9,13,3,10,7
Gene61,4,4,4,6,6,6,8,3,8,5,3,1,5,2,2,5,7,5,3,4,6,2,5,4,3,4,2,5,5
Gene62,8,9,7,10,6,2,4,4,5,4,9,2,6,5,5,4,4,5,6,5,1,5,3,5,5,5,3,5,5
Gene63,9,2,2,8,2,3,5,3,9,6,5,6,5,7,7,7,8,2,7,5,9,7,3,2,7,1,6,5,8
Gene64,7,6,6,3,4,3,8,3,4,8,5,7,5,11,6,5,4,4,5,6,5,4,6,5,3,6,9,3,4
Gene65,5,6,3,2,7,5,5,7,5,6,6,9,5,5,0,3,6,6,7,7,3,3,7,4,3,5,3,2,6
Gene66,5,4,3,6,3,6,3,8,10,6,4,5,6,6,8,8,4,7,4,10,4,8,7,6,5,2,10,5,5
Gene67,3,5,4,3,7,5,6,4,4,5,6,2,5,3,7,8,9,3,9,4,9,4,6,1,2,6,5,4,7
Gene68,7,6,3,3,7,3,4,6,5,5,7,12,4,5,6,6,5,4,4,10,8,8,3,11,5,12,6,4,7
Gene69,9,5,2,7,9,6,8,5,8,5,7,3,4,4,10,5,7,5,3,6,6,3,7,5,4,5,3,5,8
Gene70,5,2,9,8,3,2,4,4,5,4,6,1,4,5,7,7,6,7,11,10,12,5,5,2,2,4,6,4,7
Gene71,7,6,5,5,5,5,6,4,4,5,7,5,2,2,5,4,9,8,6,13,8,5,5,7,3,14,3,8,8
Gene72,7,3,9,8,5,8,4,5,6,6,3,7,7,7,5,6,7,4,8,9,6,8,2,4,7,4,4,9,6
Gene73,3,1,4,6,6,5,3,2,5,9,9,6,6,6,5,9,2,5,3,6,2,4,4,4,3,2,4,7,8
Gene74,6,6,3,2,3,6,8,10,5,6,6,6,4,5,8,3,7,6,4,9,6,3,5,3,2,8,6,4,4
Gene75,6,6,8,11,5,2,6,6,4,4,7,7,4,4,4,7,5,1,5,4,3,6,4,3,6,7,6,5,6
Gene76,5,5,3,7,4,3,3,5,5,5,3,4,16,8,5,4,6,6,5,2,1,9,6,8,9,7,5,9,7
Gene77,0,7,3,8,4,6,9,4,6,2,6,6,5,10,3,4,3,7,6,5,2,10,11,7,7,7,4,7,8
Gene78,8,7,4,10,8,6,6,7,7,6,7,8,5,6,5,4,4,3,2,6,1,6,3,6,5,7,5,4,3
Gene79,3,8,8,7,6,6,4,4,3,2,5,2,8,3,6,1,4,5,3,5,8,5,1,7,8,7,9,4,7
Gene80,3,4,5,4,3,5,6,6,4,11,6,5,5,6,7,5,5,4,9,9,4,9,6,5,4,4,2,4,7
Gene81,4,7,3,8,10,5,4,2,3,4,4,5,8,2,5,2,7,10,4,2,8,3,3,7,5,8,7,4,5
Gene82,3,7,9,5,4,5,2,11,3,4,4,3,5,4,8,5,5,2,0,1,6,4,10,2,2,5,3,4,5
Gene83,4,8,11,3,5,5,4,5,3,5,9,4,11,3,6,5,8,4,10,4,4,4,7,8,3,2,4,5,4
Gene84,5,4,9,4,11,5,5,6,2,4,5,8,5,5,5,3,6,13,6,2,6,3,2,6,4,4,6,15,5
Gene85,8,4,3,4,7,6,4,6,3,3,2,4,6,2,4,4,5,4,10,6,2,8,4,3,8,7,6,8,6
Gene86,4,4,14,9,8,2,11,4,8,2,1,4,6,4,8,2,6,4,6,3,5,4,6,5,8,6,7,5,2
Gene87,8,3,3,4,4,3,9,8,3,7,5,5,4,8,9,5,4,6,8,11,5,5,7,6,1,9,4,3,3
Gene88,7,5,9,3,4,4,10,2,4,2,3,8,6,6,4,7,10,7,5,5,7,5,4,9,5,3,5,10,2
Gene89,7,4,1,6,7,0,4,2,5,7,8,9,7,5,8,8,5,4,4,4,6,6,4,3,3,4,7,4,7
Gene90,4,7,10,9,1,6,5,5,2,4,4,4,8,6,8,7,9,3,5,12,8,7,5,9,5,7,11,4,8
Gene91,4,6,5,1,5,4,2,7,4,8,5,2,3,1,4,2,5,4,6,7,5,4,5,6,5,4,6,4,4
Gene92,6,7,7,5,4,5,4,6,11,7,2,4,5,5,4,3,3,3,7,4,2,4,6,2,4,7,3,5,3
Gene93,7,3,7,7,6,6,4,3,6,4,7,7,7,6,7,3,3,2,3,5,11,4,2,2,4,2,6,6,4
Gene94,6,6,2,5,6,4,8,3,5,11,3,5,6,7,6,3,5,8,3,7,5,3,5,3,7,5,6,7,6
Gene95,7,10,4,9,6,7,5,3,5,3,4,9,6,8,7,6,6,2,7,8,5,3,5,7,4,3,5,5,2
Gene96,9,4,8,3,8,6,1,5,3,4,5,4,6,3,4,4,6,4,2,4,4,2,7,3,4,5,4,2,8
Gene97,7,1,5,5,3,2,3,4,3,1,8,4,5,4,4,8,4,6,4,2,9,2,7,5,3,9,4,3,6
Gene98,7,5,7,2,7,0,0,1,11,3,6,3,6,7,2,3,2,2,5,10,6,4,2,3,5,7,3,5,6
Gene99,8,5,6,4,5,3,9,9,3,7,6,3,7,4,3,5,2,5,3,4,4,4,7,6,8,5,9,4,6
Gene100,3,5,6,4,2,4,7,3,4,2,11,8,2,7,4,6,1,7,8,5,3,2,1,8,3,7,4,7,3
Gene101,4,10,11,7,4,6,2,5,5,3,9,8,7,5,3,3,6,9,6,3,3,7,1,5,10,5,3,3,5
Gene102,2,2,4,7,9,4,4,6,9,5,6,5,5,5,3,0,0,6,6,6,7,10,6,3,7,1,7,5,10
Gene103,4,5,7,3,6,4,2,3,4,5,8,7,5,9,1,3,6,7,2,5,5,6,4,4,13,6,7,3,7
Gene104,6,8,4,8,6,3,4,8,4,6,3,3,7,8,1,2,8,8,7,6,8,0,7,3,7,4,5,1,5
Gene105,4,5,3,2,6,7,4,3,8,3,2,7,1,6,7,3,4,3,5,4,6,5,4,5,4,8,7,7,1
